pbin,S1,S2,S3,S4
1725.0,0.0007632880809405052,-6.200083610696794e-05,-0.0026270312663907447,0.0019257440215576516
1750.0,0.0006230740470725138,-0.00013022504835413784,-0.002434336993009545,0.001941487994291169
1775.0,0.0004800526481409939,-0.00016975138401065237,-0.0023937351855671807,0.0020834339214381714
1800.0,0.00037086127563412674,-9.809068332522486e-05,-0.002258096907636453,0.0019853263153271072
1825.0,0.0004375583020022056,-2.668177721965037e-05,-0.002262569666174663,0.001851693141392552
1850.0,0.0003571183626229768,7.165011047938208e-05,-0.0023468989705737187,0.0019181304974709157
1875.0,0.0003702515617738378,0.00019094806672770304,-0.0024327663333205685,0.0018715667048190276
1900.0,0.0003496249907271043,0.0004277149004154879,-0.0025863370630045956,0.0018089971718620035
1925.0,0.00038193691546850594,0.0005779714087559285,-0.0027597741105096496,0.0017998657862858813
1950.0,0.00045102415135733764,0.0006765003055142493,-0.0028373730827009336,0.0017098486258291246
1975.0,0.0005206139043549829,0.0006844228290581178,-0.0028941075578532427,0.0016890708244394759
2000.0,0.0005666840579152677,0.0006894972886444251,-0.002908344218368386,0.0016521628718086934
2025.0,0.0007181740643418255,0.0005778530051385733,-0.0028953811109200256,0.0015993540414389606
2050.0,0.0008760103571263667,0.0007006263967324067,-0.00302609093008277,0.0014494541762239965
2075.0,0.0024030368704504035,0.002375206654635198,-0.0037032763982953742,-0.0010749671267897831
2100.0,0.006169278684386326,0.002181980283714635,-0.0087596399631924,0.0004083809950912176
2125.0,0.005025510077664386,0.006552344529999754,-0.012413341736912553,0.0008354871292490795
2150.0,0.004855330807368663,0.00668382655025912,-0.01213277223984166,0.0005936148822143217
2175.0,0.004906349854546299,0.0064429145252375974,-0.011917698748781902,0.0005684343689980054
