train_count,test_count,category,model,mae,rmse,r2
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.001,eps=0.01)",0.1826825282740495,0.2794610251089989,0.8966568814731383
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.001,eps=0.05)",0.1847043316953222,0.2756440766884263,0.899460575248048
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.005,eps=0.01)",0.0800410913360192,0.1405419265577117,0.973863292811768
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.005,eps=0.05)",0.080655223772339,0.1384507897306132,0.9746352876259172
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.01,eps=0.01)",0.0672771837241619,0.1269613085796293,0.9786704424223852
8000,2000,经典回归,"SVR (RBF,C=5.0,gamma=0.01,eps=0.05)",0.0710750453060536,0.1283155296785041,0.9782129961895912
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=scale,eps=0.01)",0.0565690876224948,0.1143134120124517,0.982708469194533
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=scale,eps=0.05)",0.058695616244555,0.1142154949236589,0.9827380792146548
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.001,eps=0.01)",0.1083148399952128,0.1792426426936008,0.957487000851288
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.001,eps=0.05)",0.1169356930898396,0.1847133538336574,0.954852297458959
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.005,eps=0.01)",0.0771145613994229,0.1364236281060861,0.9753726173907012
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.005,eps=0.05)",0.0781793574153908,0.1350342793236849,0.975871677490431
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.01,eps=0.01)",0.0620416032393737,0.1222038341946033,0.9802390084766426
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.01,eps=0.05)",0.0664345095894013,0.1238511463658154,0.9797026598970348
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=scale,eps=0.01)",0.0564194031606229,0.1130368468760954,0.9830925101131393
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=scale,eps=0.05)",0.058631912266539,0.1127153685602825,0.9831885436165548
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.001,eps=0.01)",0.0899838945193278,0.157897148230957,0.967009595544914
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.001,eps=0.05)",0.0935605161726773,0.1578579981950938,0.9670259532234567
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.005,eps=0.01)",0.0725132738805864,0.1312122041607969,0.9772182265196454
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.005,eps=0.05)",0.0745501497487245,0.1312850945748318,0.977192908232386
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.01,eps=0.01)",0.0605620263187536,0.1202569532372853,0.980863634358825
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.01,eps=0.05)",0.0638325918505651,0.1211747712604184,0.980570416792099
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=1.0)",0.0601529281721537,0.1188374580820062,0.9813127336884576
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=5.0)",0.059689067869034,0.1155418097481369,0.9823348471876772
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=10.0)",0.059760000861376,0.113999381673354,0.9828033418209652
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=1.0)",0.0577948437450193,0.1195925107485775,0.9810745142728138
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=5.0)",0.0573310557584168,0.1156091775841819,0.9823142414855472
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=10.0)",0.0571688236432632,0.1143394202177232,0.9827006000769148
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=1.0)",0.0573932575180537,0.1199509597641459,0.980960895316231
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=5.0)",0.0568130257797152,0.1159893767096291,0.9821977253626574
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=10.0)",0.056579157527702,0.1142704624728548,0.9827214602120904
8000,2000,经典回归,"LinearSVR (C=0.1,eps=0.01)",0.2677661522583113,0.4358543744894421,0.7486251145779675
8000,2000,经典回归,"LinearSVR (C=0.1,eps=0.05)",0.2677560266452997,0.4334461227579471,0.751395312993627
8000,2000,经典回归,"LinearSVR (C=1.0,eps=0.01)",0.2677320947049617,0.4350551688047762,0.7495461380137622
8000,2000,经典回归,"LinearSVR (C=1.0,eps=0.05)",0.2677226494302174,0.433538406487479,0.7512894423501222
8000,2000,经典回归,"LinearSVR (C=10.0,eps=0.01)",0.2678209785049928,0.4375602394380986,0.7466535810498172
8000,2000,经典回归,"LinearSVR (C=10.0,eps=0.05)",0.2677626510154319,0.4335442274736675,0.7512827635857104
8000,2000,经典回归,"RandomForest (n=100,depth=None,leaf=1)",0.0627715648102777,0.1223031297796635,0.980206882211492
8000,2000,经典回归,"RandomForest (n=100,depth=None,leaf=2)",0.0610263145396285,0.1181246953806579,0.981536226222841
8000,2000,经典回归,"RandomForest (n=100,depth=12,leaf=1)",0.0602059856979386,0.116207492818291,0.982130708642622
8000,2000,经典回归,"RandomForest (n=100,depth=12,leaf=2)",0.0595484203553508,0.1147416226202726,0.982578680659349
8000,2000,经典回归,"RandomForest (n=100,depth=24,leaf=1)",0.0627575557885565,0.122266135657308,0.9802188544035472
8000,2000,经典回归,"RandomForest (n=100,depth=24,leaf=2)",0.0610239679014274,0.1181174511771815,0.981538490799818
8000,2000,经典回归,"RandomForest (n=200,depth=None,leaf=1)",0.0625985964654938,0.1220562411302825,0.9802867127740194
8000,2000,经典回归,"RandomForest (n=200,depth=None,leaf=2)",0.0607521202830674,0.1175181697195339,0.9817253484361128
8000,2000,经典回归,"RandomForest (n=200,depth=12,leaf=1)",0.0600754772503311,0.1159305282003718,0.9822157851468936
8000,2000,经典回归,"RandomForest (n=200,depth=12,leaf=2)",0.0593521246132843,0.114271561433651,0.982721127868478
8000,2000,经典回归,"RandomForest (n=200,depth=24,leaf=1)",0.0625814216911119,0.1220016055930996,0.9803043571807354
8000,2000,经典回归,"RandomForest (n=200,depth=24,leaf=2)",0.0607487909961186,0.1175108266848659,0.9817276321205488
8000,2000,经典回归,"RandomForest (n=300,depth=None,leaf=1)",0.0625013799853676,0.1215791030114128,0.980440536551736
8000,2000,经典回归,"RandomForest (n=300,depth=None,leaf=2)",0.0606364548945112,0.1171137971642047,0.9818508958932924
8000,2000,经典回归,"RandomForest (n=300,depth=12,leaf=1)",0.0600572117007893,0.1157217333864591,0.9822797874082854
8000,2000,经典回归,"RandomForest (n=300,depth=12,leaf=2)",0.0592942279387007,0.1139670142307632,0.9828131056077468
8000,2000,经典回归,"RandomForest (n=300,depth=24,leaf=1)",0.0624843456553953,0.1215282961946098,0.9804568805847336
8000,2000,经典回归,"RandomForest (n=300,depth=24,leaf=2)",0.0606332191248002,0.1171067702928388,0.981853073733941
8000,2000,经典回归,"ExtraTrees (n=100,depth=None,leaf=1)",0.0651351383461478,0.1288990239315591,0.9780143998734604
8000,2000,经典回归,"ExtraTrees (n=100,depth=None,leaf=2)",0.0607335362590656,0.1172351865019612,0.9818132530271112
8000,2000,经典回归,"ExtraTrees (n=100,depth=12,leaf=1)",0.0575446133895537,0.1118874536902356,0.9834346030158042
8000,2000,经典回归,"ExtraTrees (n=100,depth=12,leaf=2)",0.056890723996892,0.1101928087389323,0.9839326011909852
8000,2000,经典回归,"ExtraTrees (n=100,depth=24,leaf=1)",0.0650352903546115,0.1288037508108608,0.9780468882906154
8000,2000,经典回归,"ExtraTrees (n=100,depth=24,leaf=2)",0.0607242559459719,0.117219643368524,0.9818180751339294
8000,2000,经典回归,"ExtraTrees (n=200,depth=None,leaf=1)",0.0651306823950173,0.1289290065710824,0.9780041707348928
8000,2000,经典回归,"ExtraTrees (n=200,depth=None,leaf=2)",0.0611404079891209,0.1174172874713729,0.9817567103375806
8000,2000,经典回归,"ExtraTrees (n=200,depth=12,leaf=1)",0.0575279448464578,0.1119489765438529,0.9834163805850116
8000,2000,经典回归,"ExtraTrees (n=200,depth=12,leaf=2)",0.0573666518427135,0.1103076714818601,0.9838990870733292
8000,2000,经典回归,"ExtraTrees (n=200,depth=24,leaf=1)",0.0650358880576733,0.1288022021468142,0.9780474161912428
8000,2000,经典回归,"ExtraTrees (n=200,depth=24,leaf=2)",0.0611447596192072,0.1174115999857784,0.9817584776401038
8000,2000,经典回归,"ExtraTrees (n=300,depth=None,leaf=1)",0.065122429424489,0.1289101175463735,0.9780106153564428
8000,2000,经典回归,"ExtraTrees (n=300,depth=None,leaf=2)",0.0608890705977239,0.1172624249569246,0.9818048010179256
8000,2000,经典回归,"ExtraTrees (n=300,depth=12,leaf=1)",0.0574483662227808,0.1117051624811511,0.9834885369685477
8000,2000,经典回归,"ExtraTrees (n=300,depth=12,leaf=2)",0.0571130806872933,0.110293914175595,0.9839031029568032
