pressure,depth,temp_obs,temp_pred
176.0,176.0,4.926225,-47.934982
472.0,472.0,4.032725,-131.63043
1817.0,1817.0,2.1051667,-510.8077
2019.0,2019.0,1.9790666,-568.2845
835.0,835.0,3.2825334,-233.27324
934.0,934.0,3.128,-261.40918
873.0,873.0,3.2198334,-244.12917
1307.0,1307.0,2.56315,-367.18237
1554.0,1554.0,2.3254,-437.31256
1406.0,1406.0,2.48982,-395.08633
1039.0,1039.0,2.9225,-291.53915
1474.0,1474.0,2.3966,-414.1881
2055.0,2055.0,1.950525,-578.7649
1160.0,1160.0,2.755975,-325.8473
914.0,914.0,3.13865,-255.61029
852.0,852.0,3.2255,-238.0502
1469.0,1469.0,2.37875,-412.78827
869.0,869.0,3.2272,-242.95515
424.0,424.0,4.10288,-117.55364
175.0,175.0,5.0809,-47.674507
2012.0,2012.0,1.9642,-566.2253
900.0,900.0,3.18255,-251.75601
1326.0,1326.0,2.560175,-372.33722
1432.0,1432.0,2.4196,-402.4198
609.0,609.0,3.827,-170.02058
877.0,877.0,3.2287,-245.28291
681.0,681.0,3.610975,-190.59856
2067.0,2067.0,1.9280286,-582.1581
502.0,502.0,4.008625,-139.5889
1594.0,1594.0,2.27685,-448.70807
1509.0,1509.0,2.3512,-424.01413
1801.0,1801.0,2.10905,-506.24734
1118.0,1118.0,2.8042,-313.963
230.0,230.0,4.862375,-62.833828
672.0,672.0,3.62995,-188.08441
1685.0,1685.0,2.1866667,-474.2367
1712.0,1712.0,2.1778,-481.83432
365.0,365.0,4.227325,-100.88923
432.0,432.0,4.126,-120.15945
994.0,994.0,3.002725,-278.739
255.0,255.0,4.701375,-69.83259
1876.0,1876.0,2.058675,-527.19354
740.0,740.0,3.52525,-207.00267
840.0,840.0,3.29155,-234.71417
1055.0,1055.0,2.91335,-296.16275
1850.0,1850.0,2.06434,-520.19073
1356.0,1356.0,2.501525,-380.64825
1703.0,1703.0,2.1831,-479.3211
1803.0,1803.0,2.1083333,-506.81747
720.0,720.0,3.54475,-201.56088
1198.0,1198.0,2.6993,-336.0905
446.0,446.0,4.1602,-124.37268
895.0,895.0,3.154875,-250.3457
364.0,364.0,4.25975,-100.58449
1082.0,1082.0,2.84236,-303.38437
456.0,456.0,4.1019335,-127.27649
517.0,517.0,3.977225,-144.02702
543.0,543.0,3.92204,-151.50986
1543.0,1543.0,2.32605,-434.1338
505.0,505.0,3.94195,-140.41559
1251.0,1251.0,2.6457667,-351.16144
490.0,490.0,4.0475335,-136.50182
1493.0,1493.0,2.3664,-419.4868
511.0,511.0,4.0279,-142.16014
1395.0,1395.0,2.48265,-391.90958
473.0,473.0,4.08546,-131.91241
1395.0,1395.0,2.48012,-391.90958
2056.0,2056.0,1.950825,-579.05316
688.0,688.0,3.59846,-192.50305
299.0,299.0,4.29918,-82.53596
656.0,656.0,3.715875,-183.58109
520.0,520.0,3.93365,-144.9815
1826.0,1826.0,2.0757,-513.418
972.0,972.0,3.0743334,-272.2962
1092.0,1092.0,2.8613334,-306.15964
1142.0,1142.0,2.7823,-321.26144
1647.0,1647.0,2.22255,-463.12268
264.0,264.0,4.483667,-72.17268
908.0,908.0,3.162575,-253.98055
1873.0,1873.0,2.0501,-526.3812
825.0,825.0,3.28875,-230.49556
1395.0,1395.0,2.4619,-391.90958
989.0,989.0,2.99976,-277.22736
1152.0,1152.0,2.7555,-323.90945
1854.0,1854.0,2.079575,-521.2764
2059.0,2059.0,1.932,-579.91437
1755.0,1755.0,2.1235,-493.66568
1031.0,1031.0,2.91745,-289.23285
2048.0,2048.0,1.94545,-576.7409
1992.0,1992.0,1.976675,-560.4851
1749.0,1749.0,2.1428,-492.0915
1909.0,1909.0,2.0365667,-536.5426
1688.0,1688.0,2.20675,-475.08618
1113.0,1113.0,2.81712,-312.35208
1189.0,1189.0,2.72835,-333.65518
223.0,223.0,4.619867,-60.831898
1500.0,1500.0,2.35995,-421.45422
722.0,722.0,3.490525,-202.10805
966.0,966.0,3.04232,-270.60696
2060.0,2060.0,1.9372857,-580.19965
1171.0,1171.0,2.75428,-328.62375
982.0,982.0,3.06408,-275.13864
1070.0,1070.0,2.86974,-300.2187
1042.0,1042.0,2.90955,-292.41016
1031.0,1031.0,2.96714,-289.23285
246.0,246.0,4.300925,-67.37575
220.0,220.0,4.5703,-59.974255
1065.0,1065.0,2.8836,-298.9057
186.0,186.0,4.83092,-50.860134
1767.0,1767.0,2.1169,-496.7484
204.0,204.0,4.656575,-55.59045
277.0,277.0,4.345825,-75.85655
992.0,992.0,3.039375,-278.13617
864.0,864.0,3.2334,-241.46904
1410.0,1410.0,2.475175,-396.2353
628.0,628.0,3.7365668,-175.40482
1088.0,1088.0,2.845875,-305.03574
1405.0,1405.0,2.4611,-394.79822
1565.0,1565.0,2.294375,-440.3182
1197.0,1197.0,2.692675,-335.81964
824.0,824.0,3.32225,-230.22316
810.0,810.0,3.37726,-226.41563
1104.0,1104.0,2.8108,-309.6013
852.0,852.0,3.307825,-238.0502
607.0,607.0,3.8096666,-169.4656
1610.0,1610.0,2.2615,-453.28018
487.0,487.0,4.00165,-135.76044
2057.0,2057.0,1.93535,-579.34106
1510.0,1510.0,2.3441668,-424.3003
1934.0,1934.0,2.0163333,-543.96234
390.0,390.0,4.03625,-108.11991
1458.0,1458.0,2.417975,-409.70346
1287.0,1287.0,2.5848,-361.71204
1762.0,1762.0,2.1524,-495.45947
1714.0,1714.0,2.176,-482.38885
1043.0,1043.0,2.916075,-292.70068
1424.0,1424.0,2.4483666,-400.1975
432.0,432.0,4.110067,-120.15945
286.0,286.0,4.1897335,-78.722664
242.0,242.0,4.28815,-66.242615
1695.0,1695.0,2.192075,-477.06613
1599.0,1599.0,2.284225,-450.17325
907.0,907.0,3.196675,-253.70668
454.0,454.0,3.99715,-126.68758
2020.0,2020.0,1.9611,-568.57965
926.0,926.0,3.1113,-259.02756
1307.0,1307.0,2.5824,-367.18237
1714.0,1714.0,2.17945,-482.38885
1167.0,1167.0,2.792775,-327.57126
1900.0,1900.0,2.034725,-533.9756
1273.0,1273.0,2.6126,-357.69818
1795.0,1795.0,2.130175,-504.52127
824.0,824.0,3.3195667,-230.22316
1730.0,1730.0,2.14782,-486.78867
1833.0,1833.0,2.098975,-515.44324
1401.0,1401.0,2.45225,-393.6431
935.0,935.0,3.1236,-261.7017
1743.0,1743.0,2.1453,-490.44943
496.0,496.0,4.02605,-138.00552
1335.0,1335.0,2.5744,-374.79694
641.0,641.0,3.7233,-179.27054
1335.0,1335.0,2.510475,-374.79694
572.0,572.0,3.83545,-159.30608
1247.0,1247.0,2.6616333,-349.99664
1497.0,1497.0,2.38678,-420.6082
334.0,334.0,4.2389665,-91.83828
1005.0,1005.0,3.009425,-281.96365
1430.0,1430.0,2.4265,-401.86536
1009.0,1009.0,2.972325,-283.10233
1578.0,1578.0,2.2885,-443.96027
506.0,506.0,3.9371,-140.69733
1093.0,1093.0,2.869475,-306.4426
1173.0,1173.0,2.7663,-329.17026
1002.0,1002.0,3.03154,-281.09802
681.0,681.0,3.6114333,-190.59856
1623.0,1623.0,2.2532,-456.87466
707.0,707.0,3.54995,-197.7253
2018.0,2018.0,1.956725,-567.9893
976.0,976.0,3.0616,-273.4206
322.0,322.0,4.12264,-88.25347
1499.0,1499.0,2.3475666,-421.17175
1134.0,1134.0,2.813575,-318.97598
284.0,284.0,4.24678,-78.10302
560.0,560.0,3.927575,-155.80002
1123.0,1123.0,2.7969,-315.58557
1636.0,1636.0,2.2393334,-460.26382
1502.0,1502.0,2.354625,-422.02057
380.0,380.0,4.013425,-105.28239
794.0,794.0,3.3561,-222.04231
820.0,820.0,3.36305,-229.13855
1259.0,1259.0,2.640075,-353.53036
1037.0,1037.0,2.9267333,-290.95975
2046.0,2046.0,1.9515,-576.16254
508.0,508.0,4.0263,-141.27122
492.0,492.0,4.0084,-136.99629
856.0,856.0,3.28235,-239.14407
1044.0,1044.0,2.9335666,-292.99133
920.0,920.0,3.1105332,-257.27493
1235.0,1235.0,2.6564,-346.546
788.0,788.0,3.36675,-220.43216
1649.0,1649.0,2.23455,-463.66748
1650.0,1650.0,2.219625,-463.9434
1461.0,1461.0,2.40745,-410.54642
995.0,995.0,3.03395,-279.03867
1038.0,1038.0,2.955075,-291.2493
1563.0,1563.0,2.308625,-439.77753
186.0,186.0,5.0803666,-50.860134
604.0,604.0,3.7322333,-168.62816
616.0,616.0,3.78355,-171.94913
328.0,328.0,4.312525,-90.09483
1793.0,1793.0,2.131125,-503.94193
1229.0,1229.0,2.6649666,-344.83258
1166.0,1166.0,2.773075,-327.31696
355.0,355.0,4.2793,-97.932686
1801.0,1801.0,2.1117,-506.24734
215.0,215.0,4.5961666,-58.428406
725.0,725.0,3.48965,-202.91837
1696.0,1696.0,2.195025,-477.34882
1760.0,1760.0,2.14084,-494.94778
596.0,596.0,3.79155,-166.36238
1812.0,1812.0,2.099325,-509.37433
819.0,819.0,3.3107,-228.86801
1991.0,1991.0,1.9772,-560.2023
1476.0,1476.0,2.400575,-414.74774
507.0,507.0,4.036675,-140.98247
981.0,981.0,3.0390334,-274.84787
1383.0,1383.0,2.503825,-388.4616
1976.0,1976.0,1.981225,-555.9854
1261.0,1261.0,2.60908,-354.12857
1398.0,1398.0,2.468675,-392.77582
1085.0,1085.0,2.89755,-304.2039
1085.0,1085.0,2.8518,-304.2039
1138.0,1138.0,2.805625,-320.13312
1876.0,1876.0,2.0387,-527.19354
1952.0,1952.0,2.019875,-549.37445
983.0,983.0,3.002925,-275.4316
551.0,551.0,3.922,-153.47792
552.0,552.0,3.878275,-153.71397
193.0,193.0,4.4215,-52.85292
1897.0,1897.0,2.0193,-533.11554
1562.0,1562.0,2.3180332,-439.50745
464.0,464.0,4.1164,-129.48282
392.0,392.0,4.196475,-108.67308
1420.0,1420.0,2.43038,-399.07666
1003.0,1003.0,2.976,-281.38757
713.0,713.0,3.518025,-199.55283
217.0,217.0,4.734825,-59.065453
455.0,455.0,4.09386,-126.98267
1300.0,1300.0,2.5799,-365.29303
1624.0,1624.0,2.2454,-457.1456
855.0,855.0,3.22798,-238.86626
1893.0,1893.0,2.033225,-531.9669
1595.0,1595.0,2.274375,-449.0036
1088.0,1088.0,2.85916,-305.03574
1607.0,1607.0,2.2722332,-452.44452
2056.0,2056.0,1.935025,-579.05316
858.0,858.0,3.261525,-239.70984
1228.0,1228.0,2.671675,-344.54785
2017.0,2017.0,1.9541,-567.6945
1248.0,1248.0,2.6591666,-350.2867
174.0,174.0,4.843525,-47.42458
1012.0,1012.0,2.991,-283.94235
1212.0,1212.0,2.706975,-339.99234
838.0,838.0,3.304175,-234.13448
1572.0,1572.0,2.31115,-442.24454
512.0,512.0,3.948575,-142.46396
899.0,899.0,3.1781,-251.47401
1765.0,1765.0,2.140575,-496.23038
1366.0,1366.0,2.504175,-383.55054
2005.0,2005.0,1.970175,-564.19104
1652.0,1652.0,2.238025,-464.5027
1056.0,1056.0,2.9184,-296.44507
799.0,799.0,3.385125,-223.40282
1642.0,1642.0,2.2474,-461.799
437.0,437.0,4.13884,-121.791954
725.0,725.0,3.51,-202.91837
757.0,757.0,3.453725,-211.9293
1139.0,1139.0,2.777,-320.41788
230.0,230.0,4.5463,-62.833828
1048.0,1048.0,2.9367,-294.15277
1013.0,1013.0,2.9705,-284.2198
506.0,506.0,4.0214,-140.69733
825.0,825.0,3.3088667,-230.49556
1175.0,1175.0,2.755325,-329.72757
1028.0,1028.0,2.935375,-288.3794
589.0,589.0,3.866925,-164.32265
661.0,661.0,3.65952,-184.99533
744.0,744.0,3.44915,-208.14569
1187.0,1187.0,2.7135,-333.10715
647.0,647.0,3.66946,-181.01125
250.0,250.0,4.364375,-68.46842
704.0,704.0,3.6053667,-196.82538
1832.0,1832.0,2.07865,-515.1558
923.0,923.0,3.13205,-258.14078
673.0,673.0,3.631275,-188.36319
202.0,202.0,4.62666,-55.11132
1603.0,1603.0,2.29585,-451.3194
366.0,366.0,4.25038,-101.19493
1390.0,1390.0,2.468675,-390.47086
580.0,580.0,3.8046,-161.6359
372.0,372.0,4.28245,-102.98871
996.0,996.0,2.9803667,-279.3369
658.0,658.0,3.6596334,-184.14732
1986.0,1986.0,1.9939,-558.7892
608.0,608.0,3.785475,-169.74342
1141.0,1141.0,2.8137,-320.98218
1827.0,1827.0,2.102475,-513.7086
783.0,783.0,3.39005,-219.1333
445.0,445.0,4.138775,-124.09121
1027.0,1027.0,2.943875,-288.09683
2040.0,2040.0,1.9434,-574.42816
1042.0,1042.0,2.904525,-292.41016
393.0,393.0,4.18958,-108.95188
315.0,315.0,4.2619,-86.18059
1169.0,1169.0,2.7199333,-328.09042
455.0,455.0,3.970175,-126.98267
758.0,758.0,3.46105,-212.2173
772.0,772.0,3.408975,-216.20805
315.0,315.0,4.3054,-86.18059
838.0,838.0,3.313875,-234.13448
1996.0,1996.0,1.9658333,-561.6179
599.0,599.0,3.7875,-167.21841
276.0,276.0,4.2765,-75.52984
1137.0,1137.0,2.765225,-319.84668
1254.0,1254.0,2.627875,-352.04385
1214.0,1214.0,2.68115,-340.56296
1411.0,1411.0,2.4488332,-396.5216
1861.0,1861.0,2.04785,-523.1619
1735.0,1735.0,2.1564333,-488.1905
1599.0,1599.0,2.283225,-450.17325
1332.0,1332.0,2.51265,-373.97903
987.0,987.0,3.0448,-276.62305
707.0,707.0,3.5381668,-197.7253
841.0,841.0,3.2655,-235.0042
600.0,600.0,3.83205,-167.50189
827.0,827.0,3.2629,-231.0424
639.0,639.0,3.6717334,-178.68526
1541.0,1541.0,2.320875,-433.5442
176.0,176.0,4.941867,-47.934982
247.0,247.0,4.5262,-67.64978
1679.0,1679.0,2.19265,-472.5256
369.0,369.0,3.9915,-102.10646
1889.0,1889.0,2.05238,-530.8219
1603.0,1603.0,2.262225,-451.3194
2061.0,2061.0,1.9519,-580.4838
1359.0,1359.0,2.491125,-381.5167
732.0,732.0,3.459125,-204.79893
599.0,599.0,3.8611,-167.21841
1553.0,1553.0,2.3328667,-437.03067
1296.0,1296.0,2.586175,-364.20334
1871.0,1871.0,2.07595,-525.84314
1052.0,1052.0,2.8954,-295.30728
1037.0,1037.0,2.925625,-290.95975
575.0,575.0,3.851425,-160.16998
1899.0,1899.0,2.037725,-533.6892
1985.0,1985.0,1.9854,-558.50696
1977.0,1977.0,1.9780333,-556.2629
295.0,295.0,4.43115,-81.42063
1176.0,1176.0,2.74015,-330.0093
1092.0,1092.0,2.8449,-306.15964
930.0,930.0,3.13425,-260.22394
951.0,951.0,3.10075,-266.31696
279.0,279.0,4.35558,-76.510315
1234.0,1234.0,2.6596,-346.25983
1120.0,1120.0,2.813,-314.61356
1906.0,1906.0,2.028975,-535.6881
2013.0,2013.0,1.9555,-566.51825
999.0,999.0,2.9869332,-280.22314
494.0,494.0,3.9993,-137.49669
461.0,461.0,4.098467,-128.68701
1905.0,1905.0,2.025875,-535.40326
1979.0,1979.0,1.98905,-556.8201
1797.0,1797.0,2.10958,-505.09915
2036.0,2036.0,1.93545,-573.2701
463.0,463.0,4.081567,-129.22002
1006.0,1006.0,3.021625,-282.25015
1456.0,1456.0,2.4139,-409.14062
1947.0,1947.0,2.0058,-547.91547
966.0,966.0,3.0665,-270.60696
1172.0,1172.0,2.736525,-328.89548
1859.0,1859.0,2.06002,-522.6244
914.0,914.0,3.1486666,-255.61029
1639.0,1639.0,2.242975,-461.02664
1664.0,1664.0,2.226275,-468.0495
874.0,874.0,3.219575,-244.4195
761.0,761.0,3.4304333,-213.0779
1112.0,1112.0,2.8369668,-312.03546
1597.0,1597.0,2.2726,-449.59116
2036.0,2036.0,1.94108,-573.2701
289.0,289.0,4.1856,-79.63985
1588.0,1588.0,2.2954,-446.92017
2042.0,2042.0,1.9482,-575.0065
296.0,296.0,4.318725,-81.70724
1402.0,1402.0,2.4691,-393.93216
