train_count,test_count,category,model,mae,rmse,r2
8000,2000,经典回归,"SVR (RBF,C=10.0,gamma=0.01,eps=0.05)",0.06643450958940139,0.12385114636581546,0.9797026598970349
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=scale,eps=0.01)",0.05641940316062297,0.11303684687609547,0.9830925101131391
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=scale,eps=0.05)",0.058631912266539035,0.11271536856028255,0.9831885436165549
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.001,eps=0.01)",0.08998389451932784,0.15789714823095705,0.9670095955449141
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.001,eps=0.05)",0.09356051617267733,0.1578579981950938,0.9670259532234567
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.005,eps=0.01)",0.07251327388058644,0.1312122041607969,0.9772182265196454
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.005,eps=0.05)",0.07455014974872458,0.13128509457483184,0.9771929082323861
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.01,eps=0.01)",0.060562026318753626,0.12025695323728533,0.980863634358825
8000,2000,经典回归,"SVR (RBF,C=20.0,gamma=0.01,eps=0.05)",0.0638325918505651,0.12117477126041842,0.980570416792099
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=1.0)",0.06015292817215371,0.11883745808200626,0.9813127336884575
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=5.0)",0.05968906786903406,0.1155418097481369,0.9823348471876773
8000,2000,经典回归,"NuSVR (RBF,nu=0.25,C=10.0)",0.059760000861376034,0.113999381673354,0.9828033418209653
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=1.0)",0.05779484374501938,0.11959251074857755,0.9810745142728138
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=5.0)",0.057331055758416835,0.11560917758418193,0.9823142414855472
8000,2000,经典回归,"NuSVR (RBF,nu=0.5,C=10.0)",0.05716882364326327,0.1143394202177232,0.9827006000769148
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=1.0)",0.0573932575180537,0.11995095976414592,0.980960895316231
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=5.0)",0.05681302577971523,0.11598937670962918,0.9821977253626574
8000,2000,经典回归,"NuSVR (RBF,nu=0.75,C=10.0)",0.056579157527702026,0.11427046247285481,0.9827214602120905
