P,obs_mean,pred_global,pred_uniform,pred_dopt,err_global,err_uniform,err_dopt
710.2595078299777,3.48491053105302,3.4825818179064925,3.468568295299356,3.489718490414649,0.0023287131465274946,0.016342235753664003,0.004807959361629255
735.7725225225225,3.4327196530452704,3.433635541186021,3.420638138543289,3.4414016464357626,0.0009158881407507202,0.01208151450198125,0.008681993390492249
761.5496828752642,3.3790284917276954,3.384478855232473,3.3728613685820896,3.392268489385586,0.005450363504777567,0.006167123145605746,0.013239997657890523
786.5964912280701,3.3353252173995616,3.3371229649200416,3.3270938496258395,3.344290600513247,0.0017977475204800086,0.00823136777372202,0.008965383113685554
811.635103926097,3.2848157678979213,3.290289313688305,3.282011315516037,3.296166360949604,0.005473545790383838,0.0028044523818842038,0.011350593051682623
838.6287553648069,3.236342149328326,3.240468854635324,3.2341814455295186,3.244187955630915,0.004126705306997991,0.002160703798807617,0.007845806302588798
864.048275862069,3.187009627888046,3.1942720542461416,3.189890943218714,3.1952319520632866,0.007262426358095375,0.002881315330667711,0.00822232417524038
889.9663677130045,3.1389615470867716,3.1479563841030256,3.145494679413325,3.1453914239869842,0.008994837016254031,0.0065331323265533925,0.006429876900212683
914.8299776286353,3.0912988252067115,3.104324866040571,3.1036385327553617,3.097727997123929,0.013026040833859387,0.012339707548650214,0.006429171917217591
941.0357894736842,3.0456937419385266,3.05923112726974,3.0603087457766858,3.0477316204354157,0.013537385331213514,0.014615003838159168,0.0020378784968890784
966.5857988165681,3.002954130663314,3.0161831467108158,3.018845510500803,2.9993021297727687,0.01322901604750193,0.01589137983748934,0.0036520008905451817
991.8600451467269,2.9645264446959367,2.9745163633189975,2.978593431976593,2.951776455063392,0.009989918623060756,0.014066987280656473,0.0127499896325447
1017.8714596949891,2.925880431926144,2.9326047720842325,2.9379626802177743,2.9033347190596324,0.006724340158088538,0.012082248291630293,0.022545712866511636
1043.0112612612613,2.8903445704617114,2.8930443954747176,2.8994609775233258,2.8570377371284152,0.0026998250130061408,0.009116407061614318,0.033306833333296204
1069.0365296803652,2.851520753424657,2.8530768844928076,2.860397693863918,2.809718377050073,0.0015561310681504459,0.008876940439261016,0.04180237637458406
1094.32688172043,2.8101799042492472,2.815199828191865,2.8232105583690235,2.76439071322136,0.005019923942617854,0.01303065411977622,0.045789191027887366
1119.4050343249428,2.7737942620144165,2.7785731563938896,2.7870857629569556,2.7201390216638224,0.004778894379473098,0.01329150094253917,0.0536552403505941
1145.255905511811,2.7382161272021657,2.7417824711963448,2.7506269703458734,2.6753054629719895,0.0035663439941790998,0.012410843143707773,0.06291066423017622
1170.8553459119496,2.7056199319498955,2.706303879333859,2.715298569461531,2.631743328064916,0.0006839473839637122,0.009678637511635557,0.07387660388497963
1196.7711111111112,2.671068246032,2.6713404571767256,2.680315677995008,2.588540895330709,0.00027221114472553154,0.009247431963007813,0.08252735070129091
1222.206818181818,2.6393436055197728,2.6379420453632605,2.6467412324998065,2.547063777601103,0.0014015601565122715,0.007397626980033767,0.09227982791866962
1247.0250569476082,2.6158450873186787,2.6062139138051066,2.614703097662975,2.5075176937655286,0.009631173513572122,0.001141989655703668,0.10832739355315013
1274.1197478991596,2.577483207282353,2.5725244040299344,2.580533736288352,2.46542975728061,0.004958803252418598,0.003050529005999003,0.11205345000174294
1298.7318181818182,2.5456263235934093,2.5427608739388035,2.5502201657885006,2.428216108619983,0.0028654496546058894,0.004593842195091291,0.11741021497342619
1324.956340956341,2.514249472659875,2.511904765850204,2.5186737452748353,2.389665724426978,0.0023447068096711376,0.004424272614960145,0.1245837482328973
1350.0731707317073,2.487777153020325,2.483160246594423,2.4891821302443873,2.3538390622591603,0.00461690642590229,0.0014049772240620761,0.13393809076116492
1375.7186813186813,2.45666258485956,2.454604683937589,2.4597924567051663,2.318392198220211,0.002057900921971001,0.0031298718456063135,0.13827038663934887
1401.3370786516855,2.4320312745660675,2.426858052734204,2.431156257651365,2.284152110385717,0.005173221831863639,0.0008750169147027087,0.1478791641803503
1426.9179954441913,2.408167594099317,2.3999062097654473,2.4032755586320995,2.2511511480660147,0.008261384333869692,0.004892035467217504,0.15701644603330234
1451.9932584269663,2.3818499930442694,2.374197003434432,2.376631365169935,2.2199753645605007,0.007652989609837402,0.005218627874334469,0.16187462848376866
1478.0042372881355,2.3547418712165253,2.3482485310222785,2.34970279126183,2.1888814887741663,0.006493340194246855,0.005039079954695325,0.165860382442359
1503.1973094170403,2.3283280207672647,2.3237935602875552,2.3243031739627256,2.1599897614337618,0.004534460479709512,0.004024846804539184,0.168338259333503
1529.3887814313346,2.3049189361696323,2.2990539082362034,2.29860129077419,2.131244692769151,0.005865027933428912,0.006317645395442106,0.1736742434004812
1555.2857142857142,2.2824267424484375,2.275256482784954,2.273886920073071,2.1041295944140828,0.0071702596634835025,0.008539822375366324,0.1782971480343547
1580.6196581196582,2.259687034493376,2.25259451649913,2.250374660659965,2.0788709828761593,0.007092517994246261,0.009312373833411325,0.1808160516172168
